x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
2425.23 75.0001 -22.4596 13 0 1 3 1.47905e+06 32.5766 86346.3 1.845 8.70661e+06 1.47905e+06 ZonesAtSurface
2475.16 75.0092 -22.4523 26 0 1 1 765593 35.8914 52675.5 2.3297 8.50556e+06 765593 ZonesAtSurface
2525.02 75.022 -2.39523 46 0 0 0 1.41117e+06 35.6983 62351.2 2.03392 4.71463e+06 1.41117e+06 ZonesAtSurface
2574.96 75.0095 -12.3962 61 0 1 1 1.4609e+06 31.7604 70645.3 1.32893 8.60734e+06 1.4609e+06 ZonesAtSurface
2624.88 74.9969 -22.4101 25 0 1 2 840848 38.6884 127358 1.31001 1.49023e+07 840848 ZonesAtSurface
2674.76 74.9971 17.6098 0 0 1 2 1.35332e+06 43.2962 104743 1.46367 1.24266e+07 1.35332e+06 ZonesAtSurface
2724.55 74.9969 157.618 2 0 0 0 1.07569e+06 28.9378 97889.7 1.5951 2.91766e+06 1.07569e+06 ZonesAtSurface
2774.52 74.9951 197.605 1 0 0 0 1.07625e+06 28.7893 103842 1.23469 3.32868e+06 1.07625e+06 ZonesAtSurface
2824.51 74.9927 237.58 4 0 0 0 986982 30.6079 68385 1.1641 3.28298e+06 986982 ZonesAtSurface
2874.5 74.9913 277.555 0 0 0 0 1.19463e+06 40.8762 83595.4 2.30688 2.94302e+06 1.19463e+06 ZonesAtSurface
2924.5 74.9917 267.53 0 0 2 1 712031 37.7225 58680.3 1.62376 3.57095e+06 712031 ZonesAtSurface
2974.52 74.9907 357.498 4 0 0 0 963080 25.8579 106285 1.5588 2.29832e+06 963080 ZonesAtSurface
3024.52 74.9902 347.464 0 0 2 1 948146 41.0113 83069.2 2.05299 3.12496e+06 948146 ZonesAtSurface
3074.56 74.9901 437.424 0 0 0 0 1.09956e+06 25.3287 102532 1.71471 2.22134e+06 1.09956e+06 ZonesAtSurface
3124.56 74.9895 427.383 0 0 1 1 1.21436e+06 16.1795 52537 1.48748 2.65292e+06 1.21436e+06 ZonesAtSurface
3174.62 74.9915 517.338 10 6 0 0 885233 35.7813 105630 1.89337 2.03002e+06 885233 ZonesAtSurface
3224.62 74.9883 507.292 0 0 1 1 1.34975e+06 26.704 131453 1.90054 2.9415e+06 1.34975e+06 ZonesAtSurface
3274.66 74.989 547.244 0 4 1 1 1.44725e+06 40.4467 101169 2.76315 3.41914e+06 1.44725e+06 ZonesAtSurface
3324.64 74.9912 487.202 2 0 1 3 539380 28.877 72598.4 1.06672 3.90519e+06 539380 ZonesAtSurface
3374.74 74.9912 627.118 5 0 2 1 831406 41.1942 55985.4 1.50637 3.49023e+06 831406 ZonesAtSurface
3424.8 74.9896 667.063 10 0 1 1 808161 33.4761 65995.4 1.41865 2.93412e+06 808161 ZonesAtSurface
3474.85 74.9906 707.009 0 0 2 1 1.3459e+06 28.4859 133530 2.1072 3.14449e+06 1.3459e+06 ZonesAtSurface
3524.86 74.9954 696.959 7 0 2 2 1.47669e+06 16.7247 68547.4 1.45943 3.36957e+06 1.47669e+06 ZonesAtSurface
3574.88 74.9972 686.91 0 0 1 3 943080 44.2283 85597.1 1.73172 4.25714e+06 943080 ZonesAtSurface
3624.92 74.9988 726.848 0 0 1 3 1.09287e+06 43.1159 64765.4 1.71284 4.51751e+06 1.09287e+06 ZonesAtSurface
3674.98 75 816.777 9 0 1 2 642308 31.0581 76585.6 1.10279 3.71969e+06 642308 ZonesAtSurface
3725.01 74.997 956.736 0 6 0 0 788193 27.2665 111215 2.78585 1.09221e+06 788193 ZonesAtSurface
3775.01 74.9975 956.735 0 0 0 0 968356 44.6305 123855 5.31327 1.11321e+06 968356 ZonesAtSurface
