x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
2525.02 75.0202 -2.31848 0 0 0 0 100000 5 10000 1.14631 1.62312e+06 100000 ZonesAtSurface
2574.83 75.0084 37.6856 0 0 0 0 807815 16.8801 133719 1.88724 1.39039e+06 807815 ZonesAtSurface
2624.69 74.9989 77.6456 0 0 0 0 1.30114e+06 36.6053 139257 1.68503 4.45312e+06 1.30114e+06 ZonesAtSurface
2674.6 74.9946 117.64 0 0 0 0 796780 34.0614 124517 1.44381 3.92235e+06 796780 ZonesAtSurface
2724.54 74.9925 157.628 0 0 0 0 589343 38.7699 89014.5 1.43441 3.0067e+06 589343 ZonesAtSurface
2774.5 74.9974 197.621 0 0 0 0 1.22932e+06 39.2225 84256.5 1.46515 4.01219e+06 1.22932e+06 ZonesAtSurface
2824.48 74.998 237.593 0 0 0 0 100000 5 10000 1.66545 250350 100000 ZonesAtSurface
2874.47 74.9926 277.551 0 0 0 0 675526 21.7594 94282.9 1.26882 2.07631e+06 675526 ZonesAtSurface
2924.48 74.9908 317.52 0 0 0 0 1.01387e+06 32.1883 142991 1.63552 2.72645e+06 1.01387e+06 ZonesAtSurface
2974.5 74.9893 357.49 0 0 0 0 961478 35.7794 52327.4 1.5803 2.61248e+06 961478 ZonesAtSurface
3024.51 74.9876 397.458 0 0 0 0 918957 35.3916 98839.3 1.93494 2.34769e+06 918957 ZonesAtSurface
3074.53 74.9873 437.425 0 0 0 0 1.43379e+06 32.4972 62308.2 2.66052 2.15842e+06 1.43379e+06 ZonesAtSurface
3124.56 74.9883 477.388 0 0 0 0 1.44341e+06 31.6622 101674 2.03823 2.72387e+06 1.44341e+06 ZonesAtSurface
3174.59 74.9866 517.343 0 0 0 0 100000 5 10000 1.16507 395325 100000 ZonesAtSurface
3224.64 74.9832 557.293 0 0 0 0 792942 19.701 77764 1.02459 2.64883e+06 792942 ZonesAtSurface
3274.68 74.9825 597.244 0 0 0 0 1.31142e+06 34.3935 72825.8 1.87426 3.18331e+06 1.31142e+06 ZonesAtSurface
3324.73 74.9825 637.196 0 0 0 0 635126 19.9374 60510.3 1.03684 2.44949e+06 635126 ZonesAtSurface
3374.78 74.9827 677.15 0 0 0 0 1.24491e+06 25.2724 134051 1.73795 2.7177e+06 1.24491e+06 ZonesAtSurface
3424.83 74.9844 717.103 0 0 0 0 549858 15.723 121217 1.02328 1.77511e+06 549858 ZonesAtSurface
3474.88 74.9879 757.052 0 0 0 0 1.48754e+06 40.9302 125795 2.89597 2.50545e+06 1.48754e+06 ZonesAtSurface
3524.93 74.9894 796.997 0 0 0 0 100000 5 10000 1.00084 426448 100000 ZonesAtSurface
3574.97 74.9894 836.948 0 0 0 0 1.28439e+06 21.4192 141578 2.01523 2.03935e+06 1.28439e+06 ZonesAtSurface
3624.99 74.9912 876.913 0 0 0 0 1.17152e+06 37.5813 132547 3.58651 1.64351e+06 1.17152e+06 ZonesAtSurface
3675 74.9927 916.891 0 0 0 0 891813 42.0836 127820 4.02345 1.32796e+06 891813 ZonesAtSurface
3725 74.9932 956.884 0 0 0 0 915282 21.6196 81085.9 2.80021 1.09137e+06 915282 ZonesAtSurface
3775 74.9933 956.884 0 0 0 0 548633 37.6941 120213 3.121 1.03171e+06 548633 ZonesAtSurface
3825 74.993 916.892 0 0 0 0 1.33742e+06 38.2123 51109.8 4.9173 1.30866e+06 1.33742e+06 ZonesAtSurface
3875.01 74.9913 876.913 0 0 0 0 1.35326e+06 16.4179 63335.4 2.43853 1.5888e+06 1.35326e+06 ZonesAtSurface
3925.04 74.9889 836.947 0 0 0 0 1.11974e+06 31.3341 133883 2.68819 1.71373e+06 1.11974e+06 ZonesAtSurface
3975.07 74.9862 796.987 0 0 0 0 1.4372e+06 20.3427 111883 2.56386 1.74827e+06 1.4372e+06 ZonesAtSurface
4025.12 74.9835 757.03 0 0 0 0 1.40547e+06 28.9488 109948 3.0204 1.82443e+06 1.40547e+06 ZonesAtSurface
4075.18 74.9812 717.074 0 0 0 0 584588 32.8528 135006 1.80483 1.93264e+06 584588 ZonesAtSurface
4125.24 74.98 677.118 0 0 0 0 706222 34.1239 76247.6 1.97426 2.21364e+06 706222 ZonesAtSurface
4175.29 74.98 637.162 0 0 0 0 569469 26.8947 136393 1.25854 2.18454e+06 569469 ZonesAtSurface
4225.35 74.9806 597.205 0 0 0 0 1.46901e+06 37.6926 63015 2.97582 2.7223e+06 1.46901e+06 ZonesAtSurface
4275.4 74.9811 557.249 0 0 0 0 980230 41.9315 143480 2.02406 2.80605e+06 980230 ZonesAtSurface
4325.45 74.9819 517.293 0 0 0 0 542166 43.9262 64619.9 1.59927 2.62315e+06 542166 ZonesAtSurface
4375.49 74.983 477.335 0 0 0 0 1.42102e+06 36.7711 146535 2.64648 2.57366e+06 1.42102e+06 ZonesAtSurface
4425.52 74.9845 437.376 0 0 0 0 618879 21.174 64520.3 1.0404 2.18525e+06 618879 ZonesAtSurface
4475.55 74.9857 397.413 0 0 0 0 1.09226e+06 42.7606 118756 2.55653 2.54482e+06 1.09226e+06 ZonesAtSurface
4525.57 74.9862 357.446 0 0 0 0 817684 30.8337 75494.3 1.39152 2.65018e+06 817684 ZonesAtSurface
4575.58 74.9873 317.475 0 0 0 0 1.36251e+06 20.3732 143133 1.27057 3.28324e+06 1.36251e+06 ZonesAtSurface
4625.59 74.9875 277.499 0 0 0 0 1.33748e+06 23.4324 125620 1.24907 3.78989e+06 1.33748e+06 ZonesAtSurface
4675.59 74.9858 237.519 0 0 0 0 656308 30.0781 101239 1.09762 3.55648e+06 656308 ZonesAtSurface
4725.59 74.9872 197.546 0 0 0 0 100000 5 10000 1.17851 340623 100000 ZonesAtSurface
4775.56 74.9908 157.566 0 0 0 0 100000 5 10000 1.3522 270522 100000 ZonesAtSurface
4825.49 74.9969 117.59 0 0 0 0 100000 5 10000 1.83533 147249 100000 ZonesAtSurface
4875.37 75.0002 77.6309 0 0 0 0 100000 5 10000 2.52203 179421 100000 ZonesAtSurface
4925.21 75.0007 37.6246 0 0 0 0 1.25132e+06 33.3238 73655.7 1.5362 5.09499e+06 1.25132e+06 ZonesAtSurface
74.8342 124.99 16.1326 0 0 0 0 1.26256e+06 15.1415 134157 1.05899 5.20866e+06 1.26256e+06 ZonesAtSurface
124.703 124.988 41.1329 0 0 0 0 1.43063e+06 41.9444 126931 1.08608 6.33894e+06 1.43063e+06 ZonesAtSurface
174.602 124.99 66.1147 0 0 0 0 1.32584e+06 25.8181 119081 1.05192 4.43172e+06 1.32584e+06 ZonesAtSurface
224.53 124.99 91.1081 0 0 0 0 900879 19.8169 134437 1.04512 3.27569e+06 900879 ZonesAtSurface
274.478 124.988 116.095 0 0 0 0 581570 33.2053 147047 1.08429 3.51803e+06 581570 ZonesAtSurface
324.445 124.987 141.078 0 0 0 0 1.06117e+06 36.6506 128967 1.03345 4.46923e+06 1.06117e+06 ZonesAtSurface
374.422 124.986 166.061 0 0 0 0 1.06332e+06 40.1909 146069 1.16157 4.62129e+06 1.06332e+06 ZonesAtSurface
424.406 124.985 191.044 0 0 0 0 1.48232e+06 24.0368 81358.7 1.46032 3.59208e+06 1.48232e+06 ZonesAtSurface
474.395 124.984 216.029 0 0 0 0 627132 40.1062 92736 1.53221 2.98306e+06 627132 ZonesAtSurface
524.388 124.984 241.012 0 0 0 0 876892 38.3664 50932.6 2.07992 2.5548e+06 876892 ZonesAtSurface
574.385 124.983 265.994 0 0 0 0 682432 36.325 115665 2.01479 2.09702e+06 682432 ZonesAtSurface
624.384 124.983 290.978 0 0 0 0 685497 44.1063 124311 3.71346 1.58374e+06 685497 ZonesAtSurface
674.387 124.983 315.961 0 0 0 0 667907 44.236 106145 4.03354 1.29466e+06 667907 ZonesAtSurface
724.393 124.983 340.944 0 0 0 0 552936 17.2973 115357 1.39578 1.26469e+06 552936 ZonesAtSurface
774.403 124.983 365.926 0 0 0 0 100000 5 10000 1.48183 225538 100000 ZonesAtSurface
824.417 124.981 390.906 0 0 0 0 1.15358e+06 28.8797 109907 3.15731 1.2866e+06 1.15358e+06 ZonesAtSurface
874.437 124.98 415.882 0 0 0 0 1.10357e+06 18.7081 68762.8 2.71623 1.19355e+06 1.10357e+06 ZonesAtSurface
924.458 124.979 440.858 0 0 0 0 960929 42.0275 90998.9 3.4961 1.39503e+06 960929 ZonesAtSurface
974.479 124.979 465.836 0 0 0 0 1.07462e+06 41.674 116994 3.55714 1.39458e+06 1.07462e+06 ZonesAtSurface
1024.5 124.979 490.814 0 0 0 0 556415 18.1363 128219 1.16351 1.35353e+06 556415 ZonesAtSurface
1074.53 124.98 515.793 0 0 0 0 1.44537e+06 40.3857 117834 5.57638 1.24373e+06 1.44537e+06 ZonesAtSurface
1124.56 124.981 540.773 0 0 0 0 1.04776e+06 43.9822 52491.5 6.07347 967740 1.04776e+06 ZonesAtSurface
1174.59 124.982 565.751 0 0 0 0 516487 36.4166 99982 1.62542 1.32935e+06 516487 ZonesAtSurface
1224.63 124.981 590.727 0 0 0 0 100000 5 10000 1.12234 210387 100000 ZonesAtSurface
1274.67 124.977 615.704 0 0 0 0 615272 42.0159 110297 1.42441 1.83659e+06 615272 ZonesAtSurface
1324.72 124.975 640.682 0 0 0 0 1.27321e+06 15.292 80969.6 3.45744 963701 1.27321e+06 ZonesAtSurface
1374.76 124.976 665.657 0 0 0 0 1.46782e+06 36.9246 132999 4.25899 1.32481e+06 1.46782e+06 ZonesAtSurface
1424.8 124.977 690.633 0 0 0 0 740233 20.9611 61708.6 1.81579 1.22737e+06 740233 ZonesAtSurface
1474.84 124.978 715.611 0 0 0 0 722011 39.9904 70745.2 3.33937 1.08875e+06 722011 ZonesAtSurface
1524.87 124.979 740.588 0 0 0 0 918274 32.6013 61616.9 4.08102 949726 918274 ZonesAtSurface
1574.9 124.981 765.564 0 0 0 0 1.12601e+06 24.5807 52677.8 3.49023 1.03597e+06 1.12601e+06 ZonesAtSurface
1624.93 124.984 790.538 0 0 0 0 100000 5 10000 1.22576 282155 100000 ZonesAtSurface
1674.96 124.986 815.504 0 0 0 0 100000 5 10000 1.0337 284653 100000 ZonesAtSurface
1724.99 124.988 840.468 0 0 0 0 1.12363e+06 42.5426 86884.1 3.28791 1.70418e+06 1.12363e+06 ZonesAtSurface
1775 124.989 865.444 0 0 0 0 578933 39.1041 71328.8 1.86917 1.69963e+06 578933 ZonesAtSurface
1825 124.991 890.436 0 0 0 0 632310 42.8791 114709 2.35194 1.76474e+06 632310 ZonesAtSurface
1874.99 124.993 915.447 0 0 0 0 1.01366e+06 42.2729 135306 4.73651 1.35918e+06 1.01366e+06 ZonesAtSurface
1924.97 124.993 940.477 0 0 0 0 865085 35.8436 62419.8 4.32337 1.02327e+06 865085 ZonesAtSurface
1974.95 124.991 965.519 0 0 0 0 898197 16.8533 51268.2 3.02212 849848 898197 ZonesAtSurface
2024.98 124.987 928.067 0 0 0 0 670313 43.9507 133749 2.21321 1.52661e+06 670313 ZonesAtSurface
2075.07 124.982 828.13 0 0 0 0 1.36324e+06 23.6083 105361 1.84782 2.26593e+06 1.36324e+06 ZonesAtSurface
2125.19 124.976 728.206 0 0 0 0 1.25469e+06 20.5549 90777 1.8241 2.01956e+06 1.25469e+06 ZonesAtSurface
2175.33 124.972 628.28 0 0 0 0 929846 44.2925 133924 1.71692 2.31376e+06 929846 ZonesAtSurface
