x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
2624.68 74.9991 77.6465 0 0 0 0 1.30114e+06 36.6053 139257 0 4.41281e+06 1.30114e+06 ZonesAtSurface
2674.6 74.9941 117.64 0 0 0 0 796780 34.0614 124517 0 3.89971e+06 796780 ZonesAtSurface
2724.55 74.9919 157.627 0 0 0 0 589343 38.7699 89014.5 0 2.91129e+06 589343 ZonesAtSurface
2774.55 74.9977 147.614 1 0 2 1 1.03541e+06 36.5961 76446.5 0 4.05968e+06 1.03541e+06 ZonesAtSurface
2824.51 74.9974 187.59 0 0 1 1 543582 40.9953 129691 0 4.46645e+06 543582 ZonesAtSurface
2874.48 74.9934 227.554 0 0 1 1 100000 5 10000 0 647090 100000 ZonesAtSurface
2924.48 74.9922 267.521 0 0 2 1 1.06597e+06 27.5571 148621 0 3.48489e+06 1.06597e+06 ZonesAtSurface
2974.5 74.9907 357.488 0 2 0 0 961478 35.7794 52327.4 0 2.30092e+06 961478 ZonesAtSurface
3024.5 74.991 347.458 0 0 2 1 1.14952e+06 28.7913 113500 0 2.53397e+06 1.14952e+06 ZonesAtSurface
3074.52 74.9912 387.424 0 0 2 1 1.28409e+06 15.1384 62239.8 0 2.62227e+06 1.28409e+06 ZonesAtSurface
3124.54 74.9922 427.388 0 0 2 1 1.41521e+06 42.437 70790.9 0 3.01904e+06 1.41521e+06 ZonesAtSurface
3174.54 74.9912 417.35 0 0 1 2 1.15085e+06 34.467 145035 0 4.21057e+06 1.15085e+06 ZonesAtSurface
3224.6 74.9881 507.284 0 0 1 1 100000 5 10000 0 434341 100000 ZonesAtSurface
3274.68 74.9839 597.228 0 0 0 0 1.31142e+06 34.3935 72825.8 0 3.21129e+06 1.31142e+06 ZonesAtSurface
3324.69 74.9882 587.177 0 0 1 1 516967 23.0169 124502 0 2.58875e+06 516967 ZonesAtSurface
3374.78 74.986 677.125 0 1 0 0 1.24491e+06 25.2724 134051 0 2.99404e+06 1.24491e+06 ZonesAtSurface
3424.79 74.99 667.074 0 0 1 1 1.37341e+06 35.0754 77525.3 0 3.28653e+06 1.37341e+06 ZonesAtSurface
3474.8 74.9941 657.025 0 0 1 2 1.32087e+06 19.3046 94958.2 0 3.45892e+06 1.32087e+06 ZonesAtSurface
3524.85 74.9951 696.962 0 0 1 2 1.35993e+06 36.9294 51325.3 0 4.62389e+06 1.35993e+06 ZonesAtSurface
3574.97 74.9921 836.867 0 10 0 0 1.28439e+06 21.4192 141578 0 2.27282e+06 1.28439e+06 ZonesAtSurface
3624.97 74.995 826.819 0 3 2 1 1.49535e+06 38.8 53261.9 0 3.37706e+06 1.49535e+06 ZonesAtSurface
3674.99 74.9956 866.776 0 0 2 1 1.3854e+06 40.6036 61002.4 0 2.70293e+06 1.3854e+06 ZonesAtSurface
3725 74.9938 956.751 0 0 0 0 915282 21.6196 81085.9 0 1.55935e+06 915282 ZonesAtSurface
3775 74.9939 956.748 0 0 0 0 548633 37.6941 120213 0 962115 548633 ZonesAtSurface
3825 74.9937 916.763 0 0 0 0 1.33742e+06 38.2123 51109.8 0 1.89349e+06 1.33742e+06 ZonesAtSurface
3875.01 74.9921 876.795 0 0 0 0 1.35326e+06 16.4179 63335.4 0 2.29319e+06 1.35326e+06 ZonesAtSurface
3925.04 74.9896 836.841 0 0 0 0 1.11974e+06 31.3341 133883 0 2.18028e+06 1.11974e+06 ZonesAtSurface
3975.08 74.9867 796.894 0 0 0 0 1.4372e+06 20.3427 111883 0 2.20517e+06 1.4372e+06 ZonesAtSurface
4025.13 74.9839 756.951 0 0 0 0 1.40547e+06 28.9488 109948 0 2.35904e+06 1.40547e+06 ZonesAtSurface
4075.18 74.9819 717.01 0 0 0 0 584588 32.8528 135006 0 2.48873e+06 584588 ZonesAtSurface
4125.24 74.9806 677.069 0 0 0 0 706222 34.1239 76247.6 0 2.84331e+06 706222 ZonesAtSurface
4175.35 74.9872 587.13 0 0 1 1 1.20587e+06 40.6869 84913.7 0 2.72175e+06 1.20587e+06 ZonesAtSurface
4225.36 74.9803 597.184 0 0 0 0 1.46901e+06 37.6926 63015 0 3.07473e+06 1.46901e+06 ZonesAtSurface
4275.41 74.9794 557.232 0 0 0 0 980230 41.9315 143480 0 3.06388e+06 980230 ZonesAtSurface
4325.49 74.9869 467.281 0 0 1 1 1.12421e+06 34.4367 62423.8 0 3.09782e+06 1.12421e+06 ZonesAtSurface
4375.5 74.9813 477.323 0 0 0 0 1.42102e+06 36.7711 146535 0 3.15498e+06 1.42102e+06 ZonesAtSurface
4425.55 74.988 387.367 0 0 1 1 944782 31.396 128138 0 3.85296e+06 944782 ZonesAtSurface
4475.55 74.9849 397.405 0 0 0 0 1.09226e+06 42.7606 118756 0 2.89151e+06 1.09226e+06 ZonesAtSurface
4525.57 74.9846 357.436 0 0 0 0 817684 30.8337 75494.3 0 2.87299e+06 817684 ZonesAtSurface
4575.59 74.9918 267.467 0 0 1 1 100000 5 10000 0 670420 100000 ZonesAtSurface
4625.59 74.9868 277.495 0 0 0 0 1.33748e+06 23.4324 125620 0 3.97676e+06 1.33748e+06 ZonesAtSurface
4675.59 74.9853 237.517 0 0 0 0 656308 30.0781 101239 0 3.63364e+06 656308 ZonesAtSurface
4725.46 74.9996 97.5434 0 0 1 2 541588 40.184 62705 0 7.79977e+06 541588 ZonesAtSurface
4775.47 74.9994 107.557 0 0 1 1 1.48192e+06 22.1694 76203.5 0 3.98289e+06 1.48192e+06 ZonesAtSurface
4825.3 74.9955 17.5488 0 0 1 2 1.38363e+06 27.835 130322 0 1.12361e+07 1.38363e+06 ZonesAtSurface
4875.2 74.9947 -22.4609 0 0 1 2 1.13836e+06 39.5308 132615 0 1.34793e+07 1.13836e+06 ZonesAtSurface
4925.21 75.0007 37.6235 0 0 0 0 1.25132e+06 33.3238 73655.7 0 4.94826e+06 1.25132e+06 ZonesAtSurface
74.8788 124.992 -33.9345 0 0 1 1 1.02862e+06 22.1944 145726 0 1.00791e+07 1.02862e+06 ZonesAtSurface
124.768 124.989 -8.92711 0 0 1 1 569110 25.6613 89203 0 4.91159e+06 569110 ZonesAtSurface
174.734 124.988 -33.9559 0 0 1 2 864511 43.0839 57585.2 0 1.21197e+07 864511 ZonesAtSurface
224.655 124.988 -8.94332 0 0 1 2 800942 37.1169 121124 0 1.05474e+07 800942 ZonesAtSurface
274.633 124.988 -33.9675 1 0 1 3 711663 30.7788 128356 0 1.02102e+07 711663 ZonesAtSurface
324.572 124.988 -8.96553 1 0 1 3 1.18825e+06 35.5391 118850 0 8.7876e+06 1.18825e+06 ZonesAtSurface
374.477 124.989 66.0439 0 0 1 2 608332 19.3224 141828 0 4.52358e+06 608332 ZonesAtSurface
424.412 124.988 141.038 0 0 2 1 1.15002e+06 42.5945 105440 0 4.71003e+06 1.15002e+06 ZonesAtSurface
474.384 124.984 216.03 0 0 0 0 627132 40.1062 92736 0 3.33193e+06 627132 ZonesAtSurface
524.375 124.983 241.014 0 0 0 0 876892 38.3664 50932.6 0 2.96588e+06 876892 ZonesAtSurface
574.369 124.983 265.997 0 0 0 0 682432 36.325 115665 0 2.31007e+06 682432 ZonesAtSurface
624.367 124.983 290.98 0 0 0 0 685497 44.1063 124311 0 1.84793e+06 685497 ZonesAtSurface
674.368 124.983 315.963 0 0 0 0 667907 44.236 106145 0 1.25984e+06 667907 ZonesAtSurface
724.373 124.983 340.945 0 0 0 0 552936 17.2973 115357 0 1.23934e+06 552936 ZonesAtSurface
774.368 124.985 315.924 0 0 1 1 657911 17.2502 121171 0 1.93214e+06 657911 ZonesAtSurface
824.392 124.979 390.901 0 0 0 0 1.15358e+06 28.8797 109907 0 1.35067e+06 1.15358e+06 ZonesAtSurface
874.412 124.978 415.875 0 5 0 0 1.10357e+06 18.7081 68762.8 0 1.15219e+06 1.10357e+06 ZonesAtSurface
924.435 124.978 440.848 0 5 0 0 960929 42.0275 90998.9 0 1.28953e+06 960929 ZonesAtSurface
974.457 124.978 465.82 0 8 0 0 1.07462e+06 41.674 116994 0 1.14078e+06 1.07462e+06 ZonesAtSurface
1024.48 124.978 490.792 0 0 0 0 556415 18.1363 128219 0 1.26649e+06 556415 ZonesAtSurface
1074.51 124.978 515.765 0 0 0 0 1.44537e+06 40.3857 117834 0 1.23394e+06 1.44537e+06 ZonesAtSurface
1124.54 124.98 540.737 0 1 0 0 1.04776e+06 43.9822 52491.5 0 958177 1.04776e+06 ZonesAtSurface
1174.58 124.981 565.707 0 0 0 0 516487 36.4166 99982 0 1.16092e+06 516487 ZonesAtSurface
1224.58 124.985 540.673 0 0 1 1 538182 20.888 124841 0 1.43263e+06 538182 ZonesAtSurface
1274.66 124.975 615.634 0 0 0 0 615272 42.0159 110297 0 1.75907e+06 615272 ZonesAtSurface
1324.71 124.974 640.599 0 4 0 0 1.27321e+06 15.292 80969.6 0 951421 1.27321e+06 ZonesAtSurface
1374.75 124.975 665.564 0 1 0 0 1.46782e+06 36.9246 132999 0 1.29821e+06 1.46782e+06 ZonesAtSurface
1424.79 124.975 690.531 0 0 0 0 740233 20.9611 61708.6 0 1.18949e+06 740233 ZonesAtSurface
1474.83 124.976 715.502 0 0 0 0 722011 39.9904 70745.2 0 1.03156e+06 722011 ZonesAtSurface
1524.87 124.977 740.475 0 0 0 0 918274 32.6013 61616.9 0 885873 918274 ZonesAtSurface
1574.9 124.979 765.451 0 7 0 0 1.12601e+06 24.5807 52677.8 0 1.19798e+06 1.12601e+06 ZonesAtSurface
1624.88 124.99 690.439 0 0 2 2 1.03888e+06 43.5986 59572.2 0 2.91306e+06 1.03888e+06 ZonesAtSurface
1674.91 124.991 715.421 0 11 1 2 1.40668e+06 34.9637 97924.4 0 2.78115e+06 1.40668e+06 ZonesAtSurface
1724.93 124.994 690.406 1 0 1 3 992057 25.7065 87641 0 3.31588e+06 992057 ZonesAtSurface
1774.98 124.999 765.347 0 0 2 2 100000 5 10000 0 412157 100000 ZonesAtSurface
1825.01 124.997 840.315 0 6 2 1 1.14651e+06 31.8302 62161.9 0 1.66685e+06 1.14651e+06 ZonesAtSurface
1874.98 124.995 915.326 0 0 0 0 1.01366e+06 42.2729 135306 0 1.47888e+06 1.01366e+06 ZonesAtSurface
1924.96 124.994 940.358 0 0 0 0 865085 35.8436 62419.8 0 1.16646e+06 865085 ZonesAtSurface
1974.93 124.991 965.403 0 0 0 0 898197 16.8533 51268.2 0 852232 898197 ZonesAtSurface
2025.01 124.99 877.957 0 8 2 1 1.22089e+06 33.1515 138100 0 2.13693e+06 1.22089e+06 ZonesAtSurface
2075.19 124.991 728.046 0 0 1 2 545387 15.3496 69736.3 0 1.38637e+06 545387 ZonesAtSurface
2125.38 124.993 578.162 1 0 1 3 100000 5 10000 0 368080 100000 ZonesAtSurface
2175.49 124.993 478.268 1 0 2 3 555885 24.5563 82308.8 0 2.02624e+06 555885 ZonesAtSurface
2225.56 124.994 378.362 0 0 1 3 581120 24.3457 108589 0 1.82428e+06 581120 ZonesAtSurface
2275.57 124.991 278.437 1 0 1 3 1.43402e+06 16.661 62260.5 0 4.05906e+06 1.43402e+06 ZonesAtSurface
2325.53 124.992 178.508 1 0 1 3 1.00451e+06 35.2856 83165 0 5.0824e+06 1.00451e+06 ZonesAtSurface
2375.41 124.991 78.5539 1 0 1 3 1.40054e+06 23.8141 108556 0 6.51437e+06 1.40054e+06 ZonesAtSurface
2425.34 124.984 28.5525 0 0 1 2 729860 33.0817 149095 0 6.49109e+06 729860 ZonesAtSurface
2475.31 125 28.7122 0 0 0 0 1.48117e+06 27.3056 110470 0 5.50365e+06 1.48117e+06 ZonesAtSurface
2525.04 125.009 -1.23387 0 0 0 0 847389 42.2149 51752.2 0 7.42553e+06 847389 ZonesAtSurface
2574.89 124.992 -11.3807 0 0 1 1 913108 34.1114 83400.8 0 1.05859e+07 913108 ZonesAtSurface
2624.77 124.991 28.6376 0 0 1 1 1.2365e+06 18.644 123842 0 4.9753e+06 1.2365e+06 ZonesAtSurface
2674.58 124.984 118.645 0 0 0 0 640481 44.6614 62493.8 0 2.53768e+06 640481 ZonesAtSurface
2724.52 124.985 158.635 0 9 0 0 1.38809e+06 40.1846 121291 0 4.46062e+06 1.38809e+06 ZonesAtSurface
2774.53 124.99 148.617 0 0 1 1 824091 21.6461 124045 0 2.61099e+06 824091 ZonesAtSurface
