x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
2524.99 75.0444 -2.27026 112 11 0 0 100000 5 10000 0.928746 241640 100000 ZonesAtSurface
2574.9 75.0253 -12.3539 97 0 1 1 518726 40.6068 57454.9 1.3759 6.38985e+06 518726 ZonesAtSurface
2624.86 75.0153 -22.3483 54 0 1 2 783910 34.1917 115279 1.38611 6.78964e+06 783910 ZonesAtSurface
2674.8 75.0068 -32.3734 42 0 1 3 564880 42.884 87044.1 1.13053 1.015e+07 564880 ZonesAtSurface
2724.76 74.999 -42.3933 16 0 1 4 911114 41.942 50321.9 1.34716 1.19387e+07 911114 ZonesAtSurface
2774.69 75.0016 -2.37824 11 0 1 4 1.05699e+06 34.1566 75193.2 1.57949 6.88448e+06 1.05699e+06 ZonesAtSurface
2824.67 74.9949 -12.4034 11 0 1 5 1.43827e+06 30.8998 140039 1.10848 1.03089e+07 1.43827e+06 ZonesAtSurface
2874.65 74.9892 -22.4356 0 0 1 6 1.14634e+06 44.9047 113959 4.41496 8.5268e+06 1.14634e+06 ZonesAtSurface
2924.6 74.9894 17.5492 3 0 1 6 1.38907e+06 20.318 63745 1.14623 7.94054e+06 1.38907e+06 ZonesAtSurface
2974.54 74.9934 107.527 0 0 1 5 1.22643e+06 39.4166 125190 2.03478 7.52541e+06 1.22643e+06 ZonesAtSurface
3024.5 75.0037 197.49 6 0 1 4 1.00069e+06 16.7658 85131.3 1.0384 3.84047e+06 1.00069e+06 ZonesAtSurface
3074.51 75.0095 237.463 5 0 1 4 867901 19.3916 143690 1.19676 3.64614e+06 867901 ZonesAtSurface
3124.53 75.0047 227.443 0 0 1 5 995783 32.0761 94185 1.44872 5.54272e+06 995783 ZonesAtSurface
3174.55 74.9946 167.414 0 0 1 7 1.39366e+06 27.6605 72439.4 1.69075 6.36259e+06 1.39366e+06 ZonesAtSurface
3224.55 74.9954 207.378 0 0 1 7 1.42034e+06 43.9663 116675 3.07181 6.7966e+06 1.42034e+06 ZonesAtSurface
3274.56 75.0006 297.319 0 0 1 6 1.36786e+06 43.3894 128453 2.00129 8.0265e+06 1.36786e+06 ZonesAtSurface
3324.6 75.0112 437.219 6 0 1 4 100000 5 10000 1.14158 389811 100000 ZonesAtSurface
3374.63 75.0019 427.19 10 0 1 5 100000 5 10000 1.12277 684743 100000 ZonesAtSurface
3424.66 74.9971 417.153 4 0 1 6 100000 5 10000 1.07434 801405 100000 ZonesAtSurface
3474.71 74.9963 457.097 7 0 1 6 934053 38.1672 59422.1 1.01263 6.41401e+06 934053 ZonesAtSurface
3524.76 74.9974 497.045 9 0 1 6 1.24717e+06 20.9341 87252 1.01994 4.57297e+06 1.24717e+06 ZonesAtSurface
3574.8 74.9945 487.015 2 0 1 7 1.47978e+06 29.9274 124536 1.00451 6.49744e+06 1.47978e+06 ZonesAtSurface
3624.85 74.9954 526.964 7 0 1 7 571089 43.1626 119906 1.06305 7.32034e+06 571089 ZonesAtSurface
3674.91 74.9982 566.912 0 0 1 7 868212 34.0267 146475 1.03152 5.93833e+06 868212 ZonesAtSurface
3725 75.0113 806.706 2 0 2 3 579272 22.9028 115982 1.1874 2.12939e+06 579272 ZonesAtSurface
3775.02 75.0099 806.705 0 0 1 3 1.4413e+06 32.7084 108470 2.25479 2.82445e+06 1.4413e+06 ZonesAtSurface
3825.03 75.0062 816.723 0 2 1 2 1.38348e+06 18.3385 103042 1.42486 2.90149e+06 1.38348e+06 ZonesAtSurface
3875.06 75.0035 776.764 4 0 1 2 1.14127e+06 26.2869 84457.8 1.38766 3.06118e+06 1.14127e+06 ZonesAtSurface
3925.11 75.0016 736.816 0 0 1 2 1.20203e+06 27.359 74320.7 1.72707 3.02475e+06 1.20203e+06 ZonesAtSurface
3975.12 74.9984 746.865 2 5 2 1 1.38048e+06 24.9853 75358.2 1.19428 4.08152e+06 1.38048e+06 ZonesAtSurface
4025.22 74.999 656.937 0 0 1 2 902849 39.8308 91978.8 1.83461 3.15395e+06 902849 ZonesAtSurface
4075.28 75.0001 617.004 9 0 1 2 746745 33.1649 68237 1.09592 2.98602e+06 746745 ZonesAtSurface
4125.39 75.0019 527.081 1 0 1 3 1.28423e+06 26.2021 81037.5 1.35203 3.92507e+06 1.28423e+06 ZonesAtSurface
4175.4 74.9999 537.128 0 0 2 2 1.22417e+06 28.1431 143543 1.31971 3.64328e+06 1.22417e+06 ZonesAtSurface
4225.44 74.9978 497.183 0 0 1 2 1.07615e+06 34.1959 50830 1.65668 3.24043e+06 1.07615e+06 ZonesAtSurface
4275.49 74.9953 457.233 0 0 2 2 782335 31.8042 135793 1.2617 2.71957e+06 782335 ZonesAtSurface
4325.52 74.9923 417.278 1 0 1 2 602194 27.6516 145320 1.30463 3.12236e+06 602194 ZonesAtSurface
4375.54 74.9939 327.337 4 0 1 3 100000 5 10000 1.36477 527259 100000 ZonesAtSurface
4425.57 74.9933 337.364 10 0 1 2 100000 5 10000 1.2009 593018 100000 ZonesAtSurface
4475.54 74.9932 197.429 0 0 1 4 1.41048e+06 39.2865 95236.6 2.34406 6.42537e+06 1.41048e+06 ZonesAtSurface
4525.51 74.9939 107.469 0 0 1 5 696434 40.1879 129320 3.10102 6.3818e+06 696434 ZonesAtSurface
4575.52 74.9992 117.496 0 0 1 4 1.41209e+06 37.1216 66919 2.13457 6.11724e+06 1.41209e+06 ZonesAtSurface
4625.5 75.0049 77.5109 7 0 1 4 698640 37.2588 99946.5 1.37282 6.2536e+06 698640 ZonesAtSurface
4675.4 74.9971 -12.4788 0 0 1 5 1.09433e+06 43.9876 94643.3 2.39623 1.03855e+07 1.09433e+06 ZonesAtSurface
4725.38 75.0033 -2.45506 23 0 1 4 1.42282e+06 30.7001 128987 1.13949 9.08933e+06 1.42282e+06 ZonesAtSurface
4775.3 74.9975 -42.4652 11 0 1 4 1.07271e+06 44.4467 144845 1.9039 1.32307e+07 1.07271e+06 ZonesAtSurface
4825.23 75.0043 -32.4437 64 0 1 3 1.28106e+06 27.5142 135969 1.24788 8.46576e+06 1.28106e+06 ZonesAtSurface
4875.17 75.0051 -22.4364 80 0 1 2 1.13836e+06 39.5308 132615 1.21166 1.11617e+07 1.13836e+06 ZonesAtSurface
4925.1 75.0114 -12.4226 60 0 1 1 955514 43.3437 127449 1.26174 1.29781e+07 955514 ZonesAtSurface
74.9146 125 -33.8977 75 0 1 1 1.02862e+06 22.1944 145726 1.51109 5.0684e+06 1.02862e+06 ZonesAtSurface
124.833 124.996 -8.86485 91 9 1 1 569110 25.6613 89203 2.08855 1.19815e+06 569110 ZonesAtSurface
174.781 124.994 -33.8868 65 0 1 2 864511 43.0839 57585.2 1.186 6.31634e+06 864511 ZonesAtSurface
224.718 124.993 -8.84822 81 9 1 2 800942 37.1169 121124 1.40067 2.39709e+06 800942 ZonesAtSurface
274.652 124.992 -33.8958 66 0 1 3 711663 30.7788 128356 1.03412 4.64365e+06 711663 ZonesAtSurface
324.6 124.989 -8.88435 64 46 1 3 1.18825e+06 35.5391 118850 1.97159 3.05238e+06 1.18825e+06 ZonesAtSurface
374.558 124.99 -33.9273 56 0 1 4 693207 29.1474 95031.2 1.0739 6.09814e+06 693207 ZonesAtSurface
424.502 124.994 -8.93904 44 0 1 4 1.20839e+06 16.1182 96703.7 1.11537 4.08395e+06 1.20839e+06 ZonesAtSurface
474.49 124.99 -33.9874 2 0 1 5 547121 41.7129 75842.1 2.18625 9.93021e+06 547121 ZonesAtSurface
524.368 124.995 90.9945 6 0 1 3 1.34688e+06 26.073 77803.8 1.23978 4.20291e+06 1.34688e+06 ZonesAtSurface
574.363 124.996 215.99 1 0 2 1 577429 34.9625 59538.7 1.60496 1.85943e+06 577429 ZonesAtSurface
624.37 125.001 240.982 0 0 2 1 1.34986e+06 26.9044 148048 3.04925 1.64015e+06 1.34986e+06 ZonesAtSurface
674.376 125.005 265.969 0 9 2 1 949570 43.2896 130198 2.7149 1.634e+06 949570 ZonesAtSurface
724.37 124.999 190.954 0 0 1 3 1.49633e+06 38.158 127830 3.17328 3.75884e+06 1.49633e+06 ZonesAtSurface
774.368 124.998 215.935 2 0 1 3 591201 21.0467 57531 1.04346 3.53876e+06 591201 ZonesAtSurface
824.366 124.994 240.913 3 0 1 3 957510 29.4654 117054 1.65331 4.21444e+06 957510 ZonesAtSurface
