x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
77.1493 74.6043 -33.033 160 0 1 1 100000 5 73537.4 0.60781 1.94009e+06 100000 ZonesAtSurface
126.644 74.9814 -8.41075 160 0 1 1 100000 5 167958 0.668117 958854 100000 ZonesAtSurface
176.434 74.9572 -33.7795 141 0 1 2 100000 5 125985 0.732339 1.43272e+06 100000 ZonesAtSurface
226.315 75.0678 -8.98463 141 0 1 2 100000 5 56082.1 0.709788 1.13603e+06 100000 ZonesAtSurface
276.242 74.9972 -34.1626 131 0 1 3 100000 5 43502.4 0.711424 1.43213e+06 100000 ZonesAtSurface
326.191 75.0662 -9.35153 131 0 1 3 100000 5 155062 0.910555 809603 100000 ZonesAtSurface
376.257 75.01 -34.3071 116 0 1 4 100000 5 29487.2 0.847981 1.22395e+06 100000 ZonesAtSurface
426.205 75.0525 -9.33978 117 0 1 4 100000 5 110754 0.786457 832420 100000 ZonesAtSurface
476.265 74.969 -34.3426 101 0 1 5 100000 5 58610.2 0.816644 1.33652e+06 100000 ZonesAtSurface
526.173 75.0223 -9.37898 102 0 1 5 100000 5 100000 0.875017 906117 100000 ZonesAtSurface
576.251 74.9641 -34.3801 89 0 1 6 100000 5 173001 0.787243 596790 100000 ZonesAtSurface
626.131 75.0174 -9.41287 90 0 1 6 100000 5 45019.2 0.810157 445368 100000 ZonesAtSurface
676.229 74.9602 -34.4617 74 0 1 7 100000 5 133655 0.915058 778058 100000 ZonesAtSurface
726.097 74.9992 -9.52643 74 0 1 7 100000 5 100000 0.853733 484514 100000 ZonesAtSurface
776.23 74.9493 -34.6385 58 0 1 8 100000 5 161438 0.961775 813389 100000 ZonesAtSurface
826.158 74.9696 -9.69181 59 0 1 8 100000 5 100000 1.06674 694713 100000 ZonesAtSurface
876.277 74.9429 -34.7695 48 0 1 9 100000 5 156445 0.977119 815009 100000 ZonesAtSurface
926.233 74.9494 -9.79456 49 1 1 9 100000 5 10000 1.01293 538246 100000 ZonesAtSurface
976.337 74.9186 -34.8735 35 0 1 10 100000 5 11606.3 1.06746 730585 100000 ZonesAtSurface
1026.31 74.9327 -9.88999 36 0 1 10 100000 5 43481.6 0.933501 867904 100000 ZonesAtSurface
1076.41 74.9225 -34.9636 24 0 1 11 100000 5 67100.4 0.932658 686825 100000 ZonesAtSurface
1126.41 74.9088 -9.98319 25 0 1 11 100000 5 92195.5 0.999178 499222 100000 ZonesAtSurface
1176.49 74.8707 -35.0643 14 0 1 12 100000 5 46136.7 0.986107 1.75611e+06 100000 ZonesAtSurface
1226.5 74.8931 -10.0754 15 0 1 12 100000 5 119558 1.03464 1.00217e+06 100000 ZonesAtSurface
1276.59 74.9003 -35.1193 5 0 1 13 100000 5 105623 1.03193 2.4365e+06 100000 ZonesAtSurface
1326.64 74.8756 -10.1357 6 0 1 13 100000 5 175737 1.00683 2.0544e+06 100000 ZonesAtSurface
1376.69 74.8673 14.8476 7 0 1 13 100000 5 131623 1.01174 1.87399e+06 100000 ZonesAtSurface
1426.76 74.875 39.8386 8 0 1 13 100000 5 81668.7 1.02498 1.52546e+06 100000 ZonesAtSurface
1476.83 74.8804 64.8331 9 0 1 13 100000 5 124861 1.00768 1.20944e+06 100000 ZonesAtSurface
1526.91 74.8839 89.8238 9 0 1 13 100000 5 12268 0.901982 594793 100000 ZonesAtSurface
1577.01 74.8929 114.82 10 0 1 13 100000 5 34732.5 0 294024 100000 ZonesAtSurface
1627.13 74.901 139.807 6 3 1 13 100000 5 10000 0 223517 100000 ZonesAtSurface
1677.25 74.9177 164.78 7 2 1 13 100000 5 87117.4 0.416592 504134 100000 ZonesAtSurface
1727.35 74.948 139.767 0 0 2 14 100000 5 178573 0 281279 100000 ZonesAtSurface
1777.47 74.9906 164.782 4 0 1 14 100000 5 31684.3 0.571536 399953 100000 ZonesAtSurface
