x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
2475.17 75.0111 -22.4548 28 0 1 1 1.23914e+06 33.5366 122826 1.96347 9.23136e+06 1.23914e+06 ZonesAtSurface
2525 75.0206 -2.39872 29 0 0 0 1.3762e+06 39.7668 137223 2.18564 5.31549e+06 1.3762e+06 ZonesAtSurface
2574.93 75.0039 -12.4111 35 0 1 1 518726 40.6068 57454.9 1.09663 1.30418e+07 518726 ZonesAtSurface
2624.8 75.0005 27.6198 2 0 1 1 1.43663e+06 38.3711 59008.6 1.12894 1.05658e+07 1.43663e+06 ZonesAtSurface
2674.61 74.999 117.634 6 0 0 0 796780 34.0614 124517 1.40622 3.39068e+06 796780 ZonesAtSurface
2724.56 74.9954 157.622 3 0 0 0 589343 38.7699 89014.5 1.16855 3.38649e+06 589343 ZonesAtSurface
2774.53 74.9933 197.605 0 0 0 0 1.22932e+06 39.2225 84256.5 1.36569 4.25021e+06 1.22932e+06 ZonesAtSurface
2824.51 74.9923 237.583 0 0 0 0 658569 25.9328 58690.2 1.28224 2.50217e+06 658569 ZonesAtSurface
2874.51 74.9913 277.557 0 0 0 0 675526 21.7594 94282.9 1.24807 2.1109e+06 675526 ZonesAtSurface
2924.51 74.9918 317.532 0 0 0 0 1.01387e+06 32.1883 142991 1.99448 2.27125e+06 1.01387e+06 ZonesAtSurface
2974.51 74.9909 307.502 0 0 2 1 1.30951e+06 33.6411 113319 2.06904 3.46592e+06 1.30951e+06 ZonesAtSurface
3024.54 74.9931 397.465 3 10 0 0 918957 35.3916 98839.3 1.52936 2.56573e+06 918957 ZonesAtSurface
3074.53 74.9911 337.434 0 0 1 2 1.10089e+06 39.9154 83263.3 2.30582 3.75876e+06 1.10089e+06 ZonesAtSurface
3124.56 74.9901 427.39 0 0 2 1 1.41521e+06 42.437 70790.9 2.83785 2.88881e+06 1.41521e+06 ZonesAtSurface
3174.59 74.9915 467.347 0 0 2 1 937000 35.8282 139258 1.79791 2.81167e+06 937000 ZonesAtSurface
3224.6 74.995 457.304 5 0 2 2 1.00747e+06 21.3458 124764 1.06495 3.20681e+06 1.00747e+06 ZonesAtSurface
3274.63 74.9944 497.251 4 0 1 2 594525 33.2647 114402 1.14015 3.56076e+06 594525 ZonesAtSurface
3324.67 74.9918 537.193 1 0 1 2 1.48522e+06 28.7599 67905.5 1.39 4.24145e+06 1.48522e+06 ZonesAtSurface
3374.74 74.9936 627.12 6 0 2 1 721869 17.0703 67906.2 1.20042 2.03266e+06 721869 ZonesAtSurface
3424.8 74.9916 667.064 0 0 1 1 1.37341e+06 35.0754 77525.3 2.04456 3.4998e+06 1.37341e+06 ZonesAtSurface
3474.81 74.9944 657.01 6 0 1 2 1.32087e+06 19.3046 94958.2 1.26153 3.70189e+06 1.32087e+06 ZonesAtSurface
3524.86 74.9954 696.945 0 0 1 2 1.35993e+06 36.9294 51325.3 1.68276 4.39251e+06 1.35993e+06 ZonesAtSurface
3574.91 74.9974 736.88 0 0 1 2 652485 40.4078 137780 1.09154 3.82145e+06 652485 ZonesAtSurface
3624.98 74.9992 826.814 0 4 2 1 1.49535e+06 38.8 53261.9 1.91192 3.683e+06 1.49535e+06 ZonesAtSurface
3675 74.9992 866.767 0 8 1 1 1.3854e+06 40.6036 61002.4 2.29709 3.37071e+06 1.3854e+06 ZonesAtSurface
3725 74.9975 906.74 0 0 2 1 1.20489e+06 25.9805 68675.3 2.81281 1.74299e+06 1.20489e+06 ZonesAtSurface
3775 74.9962 956.737 0 0 0 0 548633 37.6941 120213 3.06349 1.18751e+06 548633 ZonesAtSurface
3825.01 74.9964 866.753 5 0 2 1 709691 18.4814 75252.4 1.14631 2.41004e+06 709691 ZonesAtSurface
3875.06 74.9975 776.8 0 0 1 2 1.14127e+06 26.2869 84457.8 1.50091 3.29312e+06 1.14127e+06 ZonesAtSurface
3925.1 74.9962 736.854 0 0 1 2 1.20203e+06 27.359 74320.7 1.4708 3.42257e+06 1.20203e+06 ZonesAtSurface
3975.11 74.9923 746.903 0 0 2 1 1.38048e+06 24.9853 75358.2 1.53343 3.33348e+06 1.38048e+06 ZonesAtSurface
4025.17 74.9902 706.961 0 0 2 1 1.00365e+06 39.8965 100528 1.70119 3.5772e+06 1.00365e+06 ZonesAtSurface
4075.26 74.9929 617.037 0 0 1 2 746745 33.1649 68237 1.46694 4.19475e+06 746745 ZonesAtSurface
4125.27 74.9938 627.096 0 2 1 1 1.43009e+06 40.0648 86223.6 2.1395 3.42636e+06 1.43009e+06 ZonesAtSurface
4175.33 74.9895 587.152 0 3 1 1 1.20587e+06 40.6869 84913.7 2.7478 2.46952e+06 1.20587e+06 ZonesAtSurface
4225.37 74.9887 547.202 0 0 2 1 890210 22.0506 54224.8 1.69406 2.46057e+06 890210 ZonesAtSurface
4275.38 74.9854 557.249 0 0 0 0 980230 41.9315 143480 3.14121 2.11908e+06 980230 ZonesAtSurface
4325.42 74.9832 517.291 3 0 0 0 542166 43.9262 64619.9 1.91826 2.44168e+06 542166 ZonesAtSurface
4375.46 74.9841 477.332 0 2 0 0 1.42102e+06 36.7711 146535 2.51301 2.78189e+06 1.42102e+06 ZonesAtSurface
4425.52 74.9895 337.383 0 0 1 2 1.42328e+06 41.1945 114169 2.68284 3.92471e+06 1.42328e+06 ZonesAtSurface
4475.53 74.9888 347.418 0 0 2 1 1.02e+06 37.0423 135451 2.56596 2.64888e+06 1.02e+06 ZonesAtSurface
4525.52 74.9894 357.452 6 0 0 0 817684 30.8337 75494.3 1.2769 2.38446e+06 817684 ZonesAtSurface
4575.54 74.99 267.482 0 0 2 1 1.23834e+06 23.0249 122744 1.57252 3.19802e+06 1.23834e+06 ZonesAtSurface
4625.54 74.9896 277.506 0 0 0 0 1.33748e+06 23.4324 125620 1.76485 2.72167e+06 1.33748e+06 ZonesAtSurface
4675.53 74.9917 187.529 0 0 1 1 639165 40.7767 73372.1 1.54059 4.91275e+06 639165 ZonesAtSurface
