x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
74.8771 74.9995 -34.9454 0 0 1 1 1.20374e+06 40.236 107969 1.21432 1.66192e+07 1.20374e+06 ZonesAtSurface
124.78 74.9997 -9.9303 0 0 1 1 1.26264e+06 41.8813 113326 1.03425 1.17261e+07 1.26264e+06 ZonesAtSurface
174.738 74.9945 -34.952 0 0 1 2 659266 41.9297 64096.4 1.30096 1.28073e+07 659266 ZonesAtSurface
224.66 74.9959 -9.94064 0 0 1 2 541430 27.1366 53782.9 1.00686 7.53477e+06 541430 ZonesAtSurface
274.635 74.9926 -34.9653 0 0 1 3 592429 16.2866 62508.6 1.01252 6.55429e+06 592429 ZonesAtSurface
324.574 74.9929 -9.96486 0 0 1 3 776968 40.4401 87069 1.97037 8.98569e+06 776968 ZonesAtSurface
374.481 74.9945 65.0442 0 0 1 2 1.21732e+06 44.0428 116021 1.4637 7.85187e+06 1.21732e+06 ZonesAtSurface
424.418 74.9937 140.039 0 0 1 1 1.41592e+06 36.7607 122610 1.64059 5.18135e+06 1.41592e+06 ZonesAtSurface
474.387 74.9914 215.031 0 0 0 0 1.48268e+06 24.6365 115230 1.44404 3.53861e+06 1.48268e+06 ZonesAtSurface
524.378 74.9904 240.015 0 0 0 0 1.33003e+06 18.8028 74958.6 1.33983 3.13093e+06 1.33003e+06 ZonesAtSurface
574.371 74.99 264.998 0 0 0 0 1.35606e+06 15.8976 51031.6 1.60535 2.52589e+06 1.35606e+06 ZonesAtSurface
624.368 74.9898 289.981 0 0 0 0 757429 23.6399 133327 1.48371 2.06308e+06 757429 ZonesAtSurface
674.37 74.9896 314.963 0 0 0 0 1.48488e+06 33.7555 94957.1 4.03309 1.74903e+06 1.48488e+06 ZonesAtSurface
724.376 74.9901 339.945 0 3 0 0 1.30216e+06 17.6023 141917 2.58656 1.47329e+06 1.30216e+06 ZonesAtSurface
774.384 74.9908 364.925 0 2 0 0 1.47011e+06 27.8244 142117 3.7006 1.67348e+06 1.47011e+06 ZonesAtSurface
824.38 74.9901 339.902 0 0 1 1 1.22958e+06 41.1636 80338.5 4.36709 2.24968e+06 1.22958e+06 ZonesAtSurface
874.416 74.987 414.874 0 0 0 0 717854 35.7495 84740.5 1.75075 2.19364e+06 717854 ZonesAtSurface
924.438 74.9861 439.845 0 0 0 0 1.37052e+06 33.667 107049 3.79174 1.65288e+06 1.37052e+06 ZonesAtSurface
974.462 74.9852 464.816 0 7 0 0 669284 33.7653 107565 1.78472 1.80512e+06 669284 ZonesAtSurface
1024.49 74.9845 489.787 0 0 0 0 839652 26.6184 127816 1.73835 1.85075e+06 839652 ZonesAtSurface
1074.52 74.9845 514.759 0 0 0 0 1.3729e+06 19.2245 124543 2.2515 1.78522e+06 1.3729e+06 ZonesAtSurface
1124.56 74.9848 539.73 0 0 0 0 1.36387e+06 28.0409 69989.1 2.85985 1.7737e+06 1.36387e+06 ZonesAtSurface
1174.6 74.9858 564.699 0 0 0 0 537165 20.4328 113317 1.73927 1.16826e+06 537165 ZonesAtSurface
1224.64 74.9871 589.663 0 0 0 0 1.25977e+06 15.3708 122887 2.4241 1.63503e+06 1.25977e+06 ZonesAtSurface
1274.64 74.9896 564.627 0 0 1 1 1.27148e+06 15.909 70094 1.52841 2.70635e+06 1.27148e+06 ZonesAtSurface
1324.72 74.9819 639.584 0 0 0 0 608867 36.2462 76376.5 2.13378 2.05294e+06 608867 ZonesAtSurface
1374.76 74.9821 664.547 0 0 0 0 1.23421e+06 17.3128 84925.2 2.18573 1.72486e+06 1.23421e+06 ZonesAtSurface
1424.8 74.9824 689.513 0 0 0 0 638526 36.6979 104855 2.4023 1.6432e+06 638526 ZonesAtSurface
1474.84 74.9828 714.482 0 0 0 0 1.11487e+06 17.5775 73117.9 2.12262 1.63897e+06 1.11487e+06 ZonesAtSurface
1524.88 74.9836 739.454 0 0 0 0 1.27614e+06 42.396 104937 4.97689 1.57847e+06 1.27614e+06 ZonesAtSurface
1574.91 74.9863 764.429 0 0 0 0 530351 40.0109 87643.5 1.47271 1.97514e+06 530351 ZonesAtSurface
1624.91 74.9917 739.409 0 0 1 1 1.06038e+06 36.6054 80896.7 1.87007 3.38439e+06 1.06038e+06 ZonesAtSurface
1674.9 74.996 664.407 1 0 2 3 707470 34.3726 82235.2 1.04909 3.89496e+06 707470 ZonesAtSurface
1724.95 74.9973 739.367 0 0 1 2 686016 31.5273 58019.5 1.14907 2.87145e+06 686016 ZonesAtSurface
1774.99 75.0002 764.333 0 0 2 2 100000 5 10000 1.19724 358091 100000 ZonesAtSurface
1825 75.0006 839.302 1 0 2 1 1.14171e+06 35.5101 72470.8 2.94546 2.01192e+06 1.14171e+06 ZonesAtSurface
1874.97 74.9986 914.311 0 0 0 0 1.10786e+06 25.611 129700 3.09678 1.30242e+06 1.10786e+06 ZonesAtSurface
1924.95 74.9972 939.342 0 0 0 0 501047 38.6276 85079.5 3.57969 1.02839e+06 501047 ZonesAtSurface
1974.93 74.995 964.384 0 0 0 0 1.03098e+06 34.8931 90101.5 5.42374 907079 1.03098e+06 ZonesAtSurface
2025 74.994 876.937 0 0 2 1 1.208e+06 16.1837 128466 1.63761 2.21933e+06 1.208e+06 ZonesAtSurface
2075.22 74.9987 677.042 0 0 1 3 1.15098e+06 44.261 69608.2 1.34316 5.24123e+06 1.15098e+06 ZonesAtSurface
2125.34 74.9968 577.153 0 0 1 3 1.21458e+06 35.1714 148945 1.07254 5.18585e+06 1.21458e+06 ZonesAtSurface
2175.45 74.997 477.263 0 0 1 3 1.05056e+06 22.9488 113163 1.01788 3.5138e+06 1.05056e+06 ZonesAtSurface
2225.52 74.9972 377.359 0 0 1 3 528624 36.6046 146114 1.12937 3.57785e+06 528624 ZonesAtSurface
2275.54 74.9955 277.436 1 0 1 3 1.38851e+06 20.9732 145808 1.17283 4.44983e+06 1.38851e+06 ZonesAtSurface
2325.54 74.9934 227.478 0 0 1 2 1.12218e+06 22.2079 141849 1.0628 3.7341e+06 1.12218e+06 ZonesAtSurface
2375.46 74.9961 127.528 0 10 1 2 1.36315e+06 42.9895 118637 1.39873 5.41785e+06 1.36315e+06 ZonesAtSurface
2425.31 74.9962 27.5412 0 0 1 2 100000 5 10000 1.21057 1.36657e+06 100000 ZonesAtSurface
2475.27 75.0142 27.6387 0 0 0 0 595714 33.5445 72348.2 1.35109 6.1872e+06 595714 ZonesAtSurface
2525.03 75.0228 -2.31453 0 0 0 0 100000 5 10000 1.28417 1.33856e+06 100000 ZonesAtSurface
2574.91 75.0036 -12.4022 0 0 1 1 518726 40.6068 57454.9 1.21369 1.54496e+07 518726 ZonesAtSurface
2624.78 75.0011 27.63 0 0 1 1 1.43663e+06 38.3711 59008.6 1.1773 9.68705e+06 1.43663e+06 ZonesAtSurface
2674.6 74.9945 117.64 0 0 0 0 796780 34.0614 124517 1.31363 3.84598e+06 796780 ZonesAtSurface
2724.55 74.9925 157.628 0 0 0 0 589343 38.7699 89014.5 1.51223 2.73206e+06 589343 ZonesAtSurface
2774.55 74.9977 147.614 0 0 2 1 1.03541e+06 36.5961 76446.5 1.29559 4.10375e+06 1.03541e+06 ZonesAtSurface
2824.51 74.9977 187.59 0 0 1 1 543582 40.9953 129691 1.59343 4.54204e+06 543582 ZonesAtSurface
2874.48 74.9937 227.555 0 0 1 1 100000 5 10000 1.11887 625781 100000 ZonesAtSurface
2924.48 74.992 267.521 0 0 2 1 1.06597e+06 27.5571 148621 1.51034 3.5502e+06 1.06597e+06 ZonesAtSurface
2974.5 74.9912 357.488 0 2 0 0 961478 35.7794 52327.4 2.11999 2.2091e+06 961478 ZonesAtSurface
3024.5 74.9916 347.458 0 0 2 1 1.14952e+06 28.7913 113500 2.0512 2.44846e+06 1.14952e+06 ZonesAtSurface
3074.52 74.9926 387.425 0 0 2 1 1.28409e+06 15.1384 62239.8 1.34259 2.66145e+06 1.28409e+06 ZonesAtSurface
3124.54 74.9949 427.388 0 2 2 1 1.41521e+06 42.437 70790.9 2.10615 3.04078e+06 1.41521e+06 ZonesAtSurface
3174.53 74.9923 367.359 0 0 1 3 1.32431e+06 18.0252 134246 1.01793 4.65857e+06 1.32431e+06 ZonesAtSurface
3224.57 74.9915 457.296 0 0 1 2 1.00747e+06 21.3458 124764 1.12376 3.71451e+06 1.00747e+06 ZonesAtSurface
3274.68 74.9853 597.227 0 0 0 0 1.31142e+06 34.3935 72825.8 1.84104 3.08618e+06 1.31142e+06 ZonesAtSurface
3324.66 74.9924 537.182 0 0 1 2 1.48522e+06 28.7599 67905.5 1.81038 3.49612e+06 1.48522e+06 ZonesAtSurface
3374.79 74.9873 677.123 0 6 0 0 1.24491e+06 25.2724 134051 1.53528 2.85819e+06 1.24491e+06 ZonesAtSurface
3424.79 74.9909 667.072 0 0 1 1 1.37341e+06 35.0754 77525.3 2.17133 3.45818e+06 1.37341e+06 ZonesAtSurface
3474.8 74.9946 657.023 0 0 1 2 1.32087e+06 19.3046 94958.2 1.28061 3.58685e+06 1.32087e+06 ZonesAtSurface
3524.82 74.9959 646.976 0 0 1 3 1.43238e+06 30.6402 132444 1.12759 5.58442e+06 1.43238e+06 ZonesAtSurface
3574.97 74.9934 836.86 0 10 0 0 1.28439e+06 21.4192 141578 1.62217 2.50241e+06 1.28439e+06 ZonesAtSurface
3624.97 74.9954 826.81 0 6 2 1 1.49535e+06 38.8 53261.9 2.10232 3.32318e+06 1.49535e+06 ZonesAtSurface
3674.99 74.9959 866.764 0 0 2 1 1.3854e+06 40.6036 61002.4 2.37136 3.08981e+06 1.3854e+06 ZonesAtSurface
3725 74.9942 956.737 0 0 0 0 915282 21.6196 81085.9 2.15378 1.4208e+06 915282 ZonesAtSurface
3775 74.9941 956.733 0 0 0 0 548633 37.6941 120213 4.8406 871691 548633 ZonesAtSurface
3825 74.9941 916.748 0 0 0 0 1.33742e+06 38.2123 51109.8 3.54498 2.0477e+06 1.33742e+06 ZonesAtSurface
3875.01 74.9924 876.783 0 0 0 0 1.35326e+06 16.4179 63335.4 1.6706 2.42203e+06 1.35326e+06 ZonesAtSurface
3925.04 74.9899 836.83 0 0 0 0 1.11974e+06 31.3341 133883 2.08951 2.48874e+06 1.11974e+06 ZonesAtSurface
3975.08 74.9869 796.885 0 0 0 0 1.4372e+06 20.3427 111883 1.95321 2.33994e+06 1.4372e+06 ZonesAtSurface
4025.13 74.984 756.944 0 0 0 0 1.40547e+06 28.9488 109948 2.42909 2.37235e+06 1.40547e+06 ZonesAtSurface
4075.18 74.9822 717.004 0 0 0 0 584588 32.8528 135006 1.0864 2.52594e+06 584588 ZonesAtSurface
4125.24 74.981 677.065 0 0 0 0 706222 34.1239 76247.6 1.43172 3.00578e+06 706222 ZonesAtSurface
4175.35 74.9872 587.127 0 0 1 1 1.20587e+06 40.6869 84913.7 3.60542 2.66538e+06 1.20587e+06 ZonesAtSurface
4225.36 74.9806 597.183 0 0 0 0 1.46901e+06 37.6926 63015 2.6856 3.18141e+06 1.46901e+06 ZonesAtSurface
4275.42 74.9792 557.231 0 0 0 0 980230 41.9315 143480 2.11554 3.04154e+06 980230 ZonesAtSurface
4325.49 74.9867 467.28 0 0 1 1 1.12421e+06 34.4367 62423.8 2.27182 3.23763e+06 1.12421e+06 ZonesAtSurface
4375.5 74.9815 477.322 0 0 0 0 1.42102e+06 36.7711 146535 2.54674 3.2744e+06 1.42102e+06 ZonesAtSurface
4425.55 74.9879 387.365 0 0 1 1 944782 31.396 128138 1.33805 3.88811e+06 944782 ZonesAtSurface
4475.55 74.9848 397.404 0 0 0 0 1.09226e+06 42.7606 118756 2.44292 2.91775e+06 1.09226e+06 ZonesAtSurface
4525.57 74.9844 357.435 0 0 0 0 817684 30.8337 75494.3 1.29918 2.95606e+06 817684 ZonesAtSurface
4575.59 74.9916 267.466 0 0 1 1 100000 5 10000 1.03966 673216 100000 ZonesAtSurface
4625.59 74.9872 277.495 0 0 0 0 1.33748e+06 23.4324 125620 1.20534 4.00131e+06 1.33748e+06 ZonesAtSurface
4675.59 74.9854 237.517 0 0 0 0 656308 30.0781 101239 1.1972 3.67581e+06 656308 ZonesAtSurface
4725.46 74.9995 97.5434 0 0 1 2 541588 40.184 62705 1.34687 7.88888e+06 541588 ZonesAtSurface
4775.47 74.9992 107.556 0 0 1 1 1.48192e+06 22.1694 76203.5 1.6203 3.93185e+06 1.48192e+06 ZonesAtSurface
4825.3 74.9952 17.5489 0 0 1 2 1.38363e+06 27.835 130322 1.03461 1.08328e+07 1.38363e+06 ZonesAtSurface
4875.2 74.9946 -22.4605 0 0 1 2 1.13836e+06 39.5308 132615 1.5689 1.38664e+07 1.13836e+06 ZonesAtSurface
4925.2 75.0025 37.6222 0 0 0 0 1.25132e+06 33.3238 73655.7 1.62613 4.56093e+06 1.25132e+06 ZonesAtSurface
74.8803 124.993 -33.9325 0 0 1 1 1.02862e+06 22.1944 145726 1.0874 9.51078e+06 1.02862e+06 ZonesAtSurface
124.773 124.99 -8.92195 0 0 1 1 569110 25.6613 89203 1.0903 3.68703e+06 569110 ZonesAtSurface
174.734 124.988 -33.9534 0 0 1 2 864511 43.0839 57585.2 1.12466 1.26838e+07 864511 ZonesAtSurface
224.658 124.988 -8.93934 0 0 1 2 800942 37.1169 121124 1.00511 7.84095e+06 800942 ZonesAtSurface
274.633 124.988 -33.9665 0 0 1 3 711663 30.7788 128356 1.1378 1.05037e+07 711663 ZonesAtSurface
324.571 124.988 -8.96483 0 0 1 3 1.18825e+06 35.5391 118850 1.65861 8.98144e+06 1.18825e+06 ZonesAtSurface
374.474 124.99 66.0443 0 0 1 2 608332 19.3224 141828 1.01498 4.145e+06 608332 ZonesAtSurface
424.409 124.987 141.037 0 2 2 1 1.15002e+06 42.5945 105440 1.25575 4.3905e+06 1.15002e+06 ZonesAtSurface
474.383 124.984 216.03 0 0 0 0 627132 40.1062 92736 1.26155 2.99138e+06 627132 ZonesAtSurface
524.375 124.983 241.014 0 0 0 0 876892 38.3664 50932.6 1.80804 2.85848e+06 876892 ZonesAtSurface
574.37 124.983 265.998 0 0 0 0 682432 36.325 115665 1.8907 2.29254e+06 682432 ZonesAtSurface
624.367 124.983 290.981 0 0 0 0 685497 44.1063 124311 3.05589 1.90279e+06 685497 ZonesAtSurface
674.368 124.983 315.964 0 0 0 0 667907 44.236 106145 3.32119 1.32353e+06 667907 ZonesAtSurface
724.373 124.983 340.946 0 0 0 0 552936 17.2973 115357 1.62403 1.35446e+06 552936 ZonesAtSurface
774.368 124.984 315.924 0 0 1 1 657911 17.2502 121171 1.36061 2.0226e+06 657911 ZonesAtSurface
824.391 124.979 390.901 0 0 0 0 1.15358e+06 28.8797 109907 3.63634 1.39798e+06 1.15358e+06 ZonesAtSurface
874.41 124.978 415.875 0 5 0 0 1.10357e+06 18.7081 68762.8 2.74834 1.19032e+06 1.10357e+06 ZonesAtSurface
924.432 124.979 440.847 0 9 0 0 960929 42.0275 90998.9 4.14017 1.23437e+06 960929 ZonesAtSurface
974.455 124.978 465.818 0 8 0 0 1.07462e+06 41.674 116994 5.24812 1.1257e+06 1.07462e+06 ZonesAtSurface
1024.48 124.978 490.789 0 0 0 0 556415 18.1363 128219 1.49327 1.19588e+06 556415 ZonesAtSurface
1074.51 124.978 515.762 0 0 0 0 1.44537e+06 40.3857 117834 5.8979 1.19688e+06 1.44537e+06 ZonesAtSurface
1124.54 124.979 540.734 0 5 0 0 1.04776e+06 43.9822 52491.5 5.67636 1.00163e+06 1.04776e+06 ZonesAtSurface
1174.58 124.981 565.702 0 0 0 0 516487 36.4166 99982 3.10744 1.21315e+06 516487 ZonesAtSurface
1224.58 124.985 540.667 0 0 1 1 538182 20.888 124841 1.62964 1.49489e+06 538182 ZonesAtSurface
1274.66 124.975 615.626 0 0 0 0 615272 42.0159 110297 3.32064 1.72592e+06 615272 ZonesAtSurface
1324.71 124.974 640.589 0 4 0 0 1.27321e+06 15.292 80969.6 3.7121 970796 1.27321e+06 ZonesAtSurface
1374.75 124.975 665.553 0 1 0 0 1.46782e+06 36.9246 132999 5.49263 1.294e+06 1.46782e+06 ZonesAtSurface
1424.79 124.975 690.519 0 0 0 0 740233 20.9611 61708.6 2.15924 1.24716e+06 740233 ZonesAtSurface
1474.83 124.976 715.488 0 0 0 0 722011 39.9904 70745.2 4.53298 1.09079e+06 722011 ZonesAtSurface
1524.87 124.977 740.461 0 0 0 0 918274 32.6013 61616.9 4.79311 949825 918274 ZonesAtSurface
1574.9 124.979 765.437 0 9 0 0 1.12601e+06 24.5807 52677.8 2.89028 1.25191e+06 1.12601e+06 ZonesAtSurface
1624.88 124.99 690.427 0 0 2 2 1.03888e+06 43.5986 59572.2 1.88889 3.21529e+06 1.03888e+06 ZonesAtSurface
1674.9 124.993 665.419 0 0 2 3 592827 25.4105 93731.5 1.08979 2.83576e+06 592827 ZonesAtSurface
1724.93 124.994 690.398 0 0 1 3 992057 25.7065 87641 1.06277 2.97277e+06 992057 ZonesAtSurface
1774.97 124.997 715.366 1 0 1 3 100000 5 10000 1.1777 557395 100000 ZonesAtSurface
1825.01 124.998 840.298 0 7 2 1 1.14651e+06 31.8302 62161.9 2.34575 2.04192e+06 1.14651e+06 ZonesAtSurface
1874.97 124.996 915.307 0 4 0 0 1.01366e+06 42.2729 135306 4.03236 1.32123e+06 1.01366e+06 ZonesAtSurface
1924.95 124.994 940.339 0 0 0 0 865085 35.8436 62419.8 4.2546 1.02699e+06 865085 ZonesAtSurface
1974.93 124.991 965.383 0 0 0 0 898197 16.8533 51268.2 3.00378 841804 898197 ZonesAtSurface
2025.01 124.99 877.939 0 8 2 1 1.22089e+06 33.1515 138100 2.2705 2.14146e+06 1.22089e+06 ZonesAtSurface
2075.19 124.99 728.032 0 2 1 2 545387 15.3496 69736.3 1.06628 1.39348e+06 545387 ZonesAtSurface
2125.39 124.993 578.153 0 0 1 3 100000 5 10000 1.01363 278426 100000 ZonesAtSurface
2175.5 124.993 478.262 0 0 2 3 555885 24.5563 82308.8 1.03092 1.6369e+06 555885 ZonesAtSurface
2225.56 124.994 378.359 0 0 1 3 581120 24.3457 108589 1.03559 1.60262e+06 581120 ZonesAtSurface
2275.57 124.991 278.436 0 0 1 3 1.43402e+06 16.661 62260.5 1.05501 3.82055e+06 1.43402e+06 ZonesAtSurface
2325.53 124.992 178.508 0 0 1 3 1.00451e+06 35.2856 83165 1.08898 4.82488e+06 1.00451e+06 ZonesAtSurface
2375.42 124.991 78.554 0 0 1 3 1.40054e+06 23.8141 108556 1.18784 6.47931e+06 1.40054e+06 ZonesAtSurface
2425.34 124.983 28.5531 0 0 1 2 729860 33.0817 149095 1.11995 6.08859e+06 729860 ZonesAtSurface
2475.31 125.001 28.7158 0 0 0 0 1.48117e+06 27.3056 110470 1.49779 4.72973e+06 1.48117e+06 ZonesAtSurface
2525.04 125.01 -1.23029 0 0 0 0 847389 42.2149 51752.2 1.46765 6.39293e+06 847389 ZonesAtSurface
2574.89 124.992 -11.3803 0 0 1 1 913108 34.1114 83400.8 1.0388 1.03717e+07 913108 ZonesAtSurface
2624.77 124.992 28.6385 0 0 1 1 1.2365e+06 18.644 123842 1.20973 5.02559e+06 1.2365e+06 ZonesAtSurface
2674.58 124.985 118.645 0 0 0 0 640481 44.6614 62493.8 1.90624 2.46385e+06 640481 ZonesAtSurface
2724.59 124.988 108.627 0 0 2 1 1.1531e+06 26.0773 137979 1.2616 3.81932e+06 1.1531e+06 ZonesAtSurface
2774.53 124.99 148.618 0 0 1 1 824091 21.6461 124045 1.52795 2.69406e+06 824091 ZonesAtSurface
2824.54 124.989 138.59 0 0 1 2 1.03551e+06 39.0344 76525.8 1.25632 7.84995e+06 1.03551e+06 ZonesAtSurface
2874.46 124.985 228.55 0 0 1 1 534434 38.4333 139411 1.39949 3.58214e+06 534434 ZonesAtSurface
2924.48 124.98 318.515 0 0 0 0 1.19473e+06 36.5886 139884 2.58617 2.12659e+06 1.19473e+06 ZonesAtSurface
2974.48 124.985 308.489 0 0 1 1 1.20945e+06 36.3172 81387.5 2.20743 2.97227e+06 1.20945e+06 ZonesAtSurface
3024.49 124.985 348.46 0 0 2 1 636847 40.6883 121602 1.86106 2.4498e+06 636847 ZonesAtSurface
3074.5 124.986 338.433 0 0 1 2 746742 22.1896 91373.5 1.14449 3.1906e+06 746742 ZonesAtSurface
3124.51 124.988 328.402 0 0 1 3 591285 27.5028 54222.6 1.07952 4.40716e+06 591285 ZonesAtSurface
3174.52 124.988 368.361 0 0 1 3 978652 23.0901 71344.4 1.01714 4.71747e+06 978652 ZonesAtSurface
3224.56 124.987 458.296 0 0 1 2 100000 5 10000 1.19156 513147 100000 ZonesAtSurface
3274.63 124.983 548.23 0 0 1 1 692520 42.0576 118431 1.1755 2.84106e+06 692520 ZonesAtSurface
3324.67 124.982 588.181 0 0 2 1 1.24051e+06 15.316 79827 1.26301 2.7067e+06 1.24051e+06 ZonesAtSurface
3374.72 124.984 628.132 0 1 2 1 705376 37.7909 75803.4 1.31525 2.30086e+06 705376 ZonesAtSurface
3424.78 124.987 668.084 0 6 2 1 1.39097e+06 29.8962 100777 2.64828 1.99502e+06 1.39097e+06 ZonesAtSurface
3474.76 124.992 608.042 0 0 1 3 1.30913e+06 33.5852 145149 1.40911 4.7979e+06 1.30913e+06 ZonesAtSurface
3524.81 124.994 647.981 0 0 1 3 757889 17.7898 101465 1.03608 3.42221e+06 757889 ZonesAtSurface
3574.93 124.99 787.871 0 0 2 1 779829 39.4681 76455.6 1.20755 3.2133e+06 779829 ZonesAtSurface
3624.97 124.992 827.813 0 8 1 1 1.37494e+06 41.152 145641 1.79398 3.36982e+06 1.37494e+06 ZonesAtSurface
3674.99 124.993 867.765 0 0 1 1 1.01153e+06 30.0412 82663.1 1.16961 3.07123e+06 1.01153e+06 ZonesAtSurface
3725 124.99 957.736 0 0 0 0 1.26608e+06 39.2468 143034 5.0742 1.2206e+06 1.26608e+06 ZonesAtSurface
3775 124.991 957.733 0 0 0 0 1.44905e+06 17.5909 128938 8.94956 513727 1.44905e+06 ZonesAtSurface
3825.02 124.995 867.753 0 0 1 1 1.08775e+06 20.2534 52458.1 1.83959 2.10383e+06 1.08775e+06 ZonesAtSurface
3875.02 124.99 877.789 0 0 0 0 1.30716e+06 40.1541 80927.9 3.04284 2.52188e+06 1.30716e+06 ZonesAtSurface
3925.04 124.986 837.838 0 3 0 0 1.24341e+06 40.1212 58727.2 2.78752 2.51148e+06 1.24341e+06 ZonesAtSurface
3975.09 124.982 797.893 0 0 0 0 696575 39.5702 137373 1.64408 2.29483e+06 696575 ZonesAtSurface
4025.14 124.978 757.951 0 0 0 0 623155 43.5513 125857 1.72956 2.39612e+06 623155 ZonesAtSurface
4075.2 124.975 718.01 0 0 0 0 873879 15.5021 70823.3 1.30578 2.17288e+06 873879 ZonesAtSurface
4125.31 124.982 628.074 0 0 1 1 763241 40.736 138065 2.43272 2.6744e+06 763241 ZonesAtSurface
4175.33 124.972 638.133 0 0 0 0 1.11094e+06 18.9304 53803.6 1.14181 2.92281e+06 1.11094e+06 ZonesAtSurface
4225.43 124.982 548.185 1 0 2 1 978449 17.5041 126375 1.35615 2.33397e+06 978449 ZonesAtSurface
4275.44 124.971 558.233 0 0 0 0 761629 39.5566 105719 1.53027 2.18782e+06 761629 ZonesAtSurface
4325.48 124.971 518.28 0 0 0 0 1.35092e+06 20.8487 86671.2 1.96987 2.27707e+06 1.35092e+06 ZonesAtSurface
4375.51 124.972 478.323 0 6 0 0 1.37564e+06 18.7162 73355 2.32378 1.76968e+06 1.37564e+06 ZonesAtSurface
4425.56 124.98 388.366 1 0 1 1 660685 18.8789 53541.2 1.07431 2.48565e+06 660685 ZonesAtSurface
4475.56 124.975 398.404 0 0 0 0 948476 21.4379 116102 1.69876 1.91771e+06 948476 ZonesAtSurface
4525.58 124.975 358.437 0 0 0 0 1.03427e+06 15.534 134401 1.63024 1.74637e+06 1.03427e+06 ZonesAtSurface
4575.6 124.976 318.469 0 0 0 0 1.16891e+06 22.6669 143708 1.93809 1.99921e+06 1.16891e+06 ZonesAtSurface
4625.61 124.977 278.497 0 1 0 0 1.26537e+06 17.323 78621.4 1.78855 2.06879e+06 1.26537e+06 ZonesAtSurface
4675.6 124.98 188.519 0 0 2 1 1.32624e+06 38.6411 58531.1 1.66718 4.60041e+06 1.32624e+06 ZonesAtSurface
4725.58 124.979 148.543 1 0 2 1 100000 5 10000 1.53472 233495 100000 ZonesAtSurface
