x, y, z, sig1, sig2, sig3, S1-x, S1-y, S1-z, S2-x, S2-y, S2-z, S3-x, S3-y, S3-z, sxx, sxy, sxz, syy, syz, szz
1225.76 74.5369 140.003 -8.72425e+07 -8.70839e+07 -8.67349e+07 0.138602 0.0511831 0.989025 -0.150854 0.988101 -0.0299945 -0.978791 -0.145041 0.144674 -8.67526e+07 48421.4 -71158.4 -8.7077e+07 -15350.6 -8.72318e+07
1275.86 74.4768 164.906 -1.51398e+08 -1.50865e+08 -1.50718e+08 -0.200432 0.924351 0.324658 0.7225 0.363271 -0.588241 -0.66168 0.116663 -0.740655 -1.50822e+08 87447.2 106519 -1.51318e+08 -172638 -1.5084e+08
1325.88 74.5347 189.895 -2.48699e+08 -2.48163e+08 -2.47946e+08 0.602725 0.549377 0.578712 -0.515781 0.821603 -0.242773 -0.608845 -0.152164 0.778559 -2.48277e+08 -157247 -290041 -2.4832e+08 -196122 -2.48211e+08
1375.79 74.5149 214.872 -2.5706e+08 -2.56854e+08 -2.56707e+08 0.0971755 0.893769 0.437874 0.607495 -0.401758 0.68523 0.788357 0.199419 -0.582001 -2.56764e+08 5160.65 -76227.7 -2.57013e+08 -97922.1 -2.56844e+08
1425.82 74.5338 239.893 -1.82539e+08 -1.81948e+08 -1.81629e+08 0.402142 0.571173 0.715572 -0.575988 0.765344 -0.287204 -0.711702 -0.296664 0.636766 -1.81882e+08 -68628.4 -314610 -1.82113e+08 -301978 -1.82121e+08
1475.99 74.5475 264.895 -2.20197e+08 -2.19677e+08 -2.18978e+08 0.78007 0.0516864 0.623554 -0.249406 0.939672 0.23412 -0.573835 -0.338148 0.745901 -2.19763e+08 114770 -552151 -2.19599e+08 -193167 -2.1949e+08
1526.08 74.535 289.863 -1.59535e+08 -1.59394e+08 -1.59391e+08 0.824942 -0.414721 0.384028 0.611667 0.559403 0.559403 -0.446823 -0.226577 0.715146 -1.5949e+08 48514.5 -44570.2 -1.59416e+08 24254.1 -1.59413e+08
1576.26 74.5586 264.729 -2.38985e+08 -2.38871e+08 -2.38802e+08 0.729431 -0.500053 -0.466774 0.279485 0.840667 -0.463861 0.624356 0.207898 0.752966 -2.38904e+08 50492.9 71159.9 -2.38896e+08 -15812.3 -2.38857e+08
1626.33 74.5807 289.732 -1.95928e+08 -1.9563e+08 -1.9548e+08 0.80628 -0.583323 -0.0982228 0.582142 0.811935 -0.0432747 0.104994 -0.0222881 0.994223 -1.95822e+08 139915 39286.2 -1.95731e+08 -20413.5 -1.95484e+08
1676.38 74.6134 314.775 -2.13333e+08 -2.13168e+08 -2.12942e+08 0.740237 -0.668898 -0.0680009 -0.276879 -0.395442 0.875765 -0.612688 -0.629446 -0.477925 -2.13174e+08 168911 74439.4 -2.13152e+08 60412.3 -2.13117e+08
1726.44 74.7032 289.726 -1.67538e+08 -1.67463e+08 -1.672e+08 -0.41407 0.903939 0.106958 0.557826 0.159142 0.814558 0.719289 0.396948 -0.570137 -1.6734e+08 103426 -104554 -1.67483e+08 -66857.8 -1.67378e+08
1776.44 74.9808 264.729 -2.27862e+08 -2.27782e+08 -2.27725e+08 0.193246 -0.308332 0.931443 0.909684 0.411987 -0.0523561 -0.3676 0.857437 0.3601 -2.27777e+08 -13243.7 -21947.3 -2.27747e+08 40590.5 -2.27844e+08
1826.68 74.9813 239.732 -2.0965e+08 -2.09307e+08 -2.09109e+08 0.780954 -0.603133 0.162301 0.604905 0.665637 -0.437056 0.155569 0.439498 0.884669 -2.09511e+08 175121 -16252.5 -2.09394e+08 110514 -2.09161e+08
1876.9 75.317 214.488 -1.67116e+08 -1.66707e+08 -1.65875e+08 -0.371324 0.85191 0.36928 0.906511 0.246575 0.342692 0.200888 0.462006 -0.863826 -1.6673e+08 206727 -88269.2 -1.66826e+08 -460881 -1.66142e+08
1926.67 75.5776 189.494 -1.17445e+07 -1.17058e+07 -1.13507e+07 0.891033 0.353209 0.285139 -0.160668 0.832874 -0.529629 -0.424554 0.426104 0.798867 -1.16726e+07 -76435.5 -130274 -1.16461e+07 116955 -1.14823e+07
1976.69 75.2442 164.185 -1.33635e+08 -1.32887e+08 -1.32251e+08 -0.268461 0.963055 0.0212966 0.753217 0.223646 -0.618584 -0.600493 -0.150025 -0.78543 -1.32712e+08 250782 304250 -1.33567e+08 59594.8 -1.32495e+08
2026.6 75.4126 126.839 -2.31751e+08 -2.30578e+08 -2.30107e+08 0.728015 0.469523 -0.499542 -0.302283 0.873851 0.380801 0.615321 -0.126226 0.778105 -2.31022e+08 -437400 651957 -2.30829e+08 228767 -2.30586e+08
2076.35 75.6944 27.1351 -1.91261e+08 -1.90168e+08 -1.89203e+08 -0.478352 0.856257 -0.194942 0.876202 0.450526 -0.171165 -0.0587349 -0.252686 -0.965764 -1.90415e+08 462054 -47209.6 -1.90908e+08 417901 -1.89309e+08
2126.6 75.7978 -22.5939 -1.27596e+08 -1.27561e+08 -1.26806e+08 -0.312114 0.946791 0.0785596 -0.313952 -0.180832 0.932059 0.896671 0.266244 0.353687 -1.26957e+08 190448 240201 -1.27539e+08 68482.6 -1.27467e+08
2176.92 76.0282 -22.3544 -1.97838e+08 -1.95326e+08 -1.94554e+08 -0.377482 0.92596 -0.010266 0.749491 0.312015 0.583875 0.543849 0.212708 -0.811778 -1.95455e+08 967275 -350675 -1.97445e+08 -109471 -1.94817e+08
2226.37 76.8801 -21.7354 -4.37451e+08 -4.36683e+08 -4.36223e+08 0.407248 0.900654 -0.151567 0.42209 -0.0384335 0.905739 0.809932 -0.432835 -0.395809 -4.36509e+08 -442869 -99943.2 -4.3722e+08 183600 -4.36629e+08
2277.17 75.976 -21.1971 -1.08561e+08 -1.05845e+08 -1.05411e+08 0.00693011 0.975756 -0.218752 -0.537556 0.188096 0.821982 0.8432 0.111895 0.525827 -1.05537e+08 22493.8 196143 -1.08425e+08 605301 -1.05855e+08
2327.48 76.6008 -20.5839 -2.63589e+07 -2.62056e+07 -2.4527e+07 -0.509571 0.75906 0.405173 -0.361683 -0.616238 0.699597 0.780719 0.20995 0.588556 -2.52223e+07 334431 802945 -2.62199e+07 160269 -2.56493e+07
2376.1 74.9403 -22.7022 -6.6239e+07 -6.61674e+07 -6.58667e+07 -0.360681 0.737413 -0.571079 0.778823 0.575008 0.250601 0.513171 -0.354382 -0.781709 -6.60975e+07 -35641.9 -135391 -6.61686e+07 113471 -6.6007e+07
2426.66 75.0937 -21.9859 -1.72459e+08 -1.71792e+08 -1.71613e+08 0.508512 -0.0566713 0.859188 0.0440749 0.998237 0.039757 -0.859926 0.0176517 0.510113 -1.71832e+08 16507 -370002 -1.71794e+08 34094.5 -1.72238e+08
2476.74 74.6948 -21.7938 -1.60715e+08 -1.595e+08 -1.58024e+08 0.110559 0.966025 -0.233606 0.529164 0.141746 0.836596 0.841286 -0.216109 -0.495514 -1.5847e+08 -398160 -583989 -1.60565e+08 432290 -1.59204e+08
2526.24 74.8168 -1.76962 -5.70691e+07 -5.69921e+07 -5.67123e+07 -0.302359 0.627491 0.717519 0.936323 0.336522 0.100263 -0.178547 0.702145 -0.689285 -5.69902e+07 -20452.7 51144 -5.68845e+07 -170082 -5.68988e+07
2576.03 74.8517 -11.5879 -1.74149e+08 -1.73841e+08 -1.73437e+08 0.589848 -0.536082 0.6039 -0.334337 0.518614 0.78693 -0.73505 -0.666075 0.126671 -1.7373e+08 295140 -147290 -1.7375e+08 65596.3 -1.73947e+08
2625.82 74.8383 -21.6816 -2.25114e+08 -2.24678e+08 -2.24468e+08 0.740249 -0.601457 0.30047 -0.621944 -0.442829 0.645824 -0.255379 -0.664946 -0.701875 -2.24903e+08 229925 -59462.7 -2.24743e+08 176778 -2.24614e+08
2675.53 74.9456 -31.7289 -3.06682e+08 -3.06265e+08 -3.05493e+08 0.773287 -0.0446987 0.632478 -0.633775 -0.024794 0.77312 -0.0188758 -0.998693 -0.0475018 -3.06514e+08 28954.9 -203213 -3.05496e+08 48388.2 -3.0643e+08
2725.51 74.8963 -41.3688 -2.84335e+08 -2.83881e+08 -2.82118e+08 -0.0677112 0.126213 0.98969 0.994802 -0.067076 0.0766151 0.0760543 0.989733 -0.121015 -2.83873e+08 136602 14191.3 -2.82161e+08 -267885 -2.843e+08
2775.56 74.9227 -1.64937 -1.7864e+08 -1.78179e+08 -1.76115e+08 0.111328 -0.130039 0.985239 0.993459 -0.0107667 -0.113677 0.0253903 0.99145 0.12799 -1.78183e+08 58634.2 -43930 -1.76158e+08 321026 -1.78593e+08
2825.54 74.9888 -11.9305 -1.7865e+08 -1.78633e+08 -1.78295e+08 -0.287332 -0.0227557 0.957561 0.725562 0.647496 0.233044 -0.62532 0.76173 -0.169536 -1.78502e+08 -160965 40467 -1.78437e+08 -43241 -1.78639e+08
2877.15 74.8829 -21.5996 -3.54621e+08 -3.50555e+08 -3.49408e+08 -0.340223 0.93424 -0.106976 -0.575422 -0.116864 0.809464 0.743732 0.336955 0.577342 -3.50391e+08 1.57991e+06 344371 -3.53974e+08 629488 -3.50219e+08
2925.9 75.065 -29.8866 -3.56744e+08 -3.54924e+08 -3.54295e+08 0.921059 0.375516 -0.10314 -0.197637 0.678966 0.707068 0.335543 -0.630867 0.699584 -3.56397e+08 -762685 320543 -3.5493e+08 -207064 -3.54636e+08
2975.02 74.6851 -40.7185 -3.03582e+08 -3.02063e+08 -3.01381e+08 0.118521 0.992548 -0.0282966 0.953761 -0.10587 0.281304 0.276212 -0.0603286 -0.959201 -3.02033e+08 -189988 -175607 -3.03557e+08 82113.1 -3.01437e+08
3024.94 74.6126 -0.29547 -4.42751e+08 -4.41637e+08 -4.41065e+08 0.509392 0.819433 0.262772 0.793892 -0.565323 0.223931 0.332047 0.0945443 -0.938513 -4.41863e+08 -447341 -327538 -4.4238e+08 -290805 -4.4121e+08
3075.71 74.6611 -10.985 -7.03926e+08 -7.03141e+08 -7.02251e+08 -0.1159 0.992251 -0.0447888 0.861855 0.078049 -0.501114 -0.493735 -0.0966803 -0.864222 -7.02935e+08 132711 375576 -7.03905e+08 109213 -7.02478e+08
3126.01 74.7491 -21.2167 -5.81257e+08 -5.80726e+08 -5.80121e+08 -0.199758 0.974842 -0.098898 0.832013 0.222065 0.508372 0.517544 0.0192668 -0.85544 -5.80585e+08 109382 -278547 -5.8123e+08 41185.3 -5.80288e+08
3176.11 74.7389 -31.6918 -6.32226e+08 -6.32077e+08 -6.31881e+08 0.412795 0.805269 0.425607 0.686793 -0.582114 0.435269 0.598261 0.112627 -0.793347 -6.32032e+08 -36323.3 -119565 -6.32171e+08 -68692.2 -6.3198e+08
3225.86 74.7503 -41.9869 -4.33536e+08 -4.33258e+08 -4.32771e+08 0.96951 -0.150175 0.193643 0.132204 0.98589 0.102681 -0.20633 -0.0739497 0.975684 -4.33498e+08 47772.7 -150055 -4.33262e+08 -27078.8 -4.32805e+08
3275.6 74.825 -1.82182 -4.58186e+08 -4.57831e+08 -4.57193e+08 0.326181 0.932402 0.155667 0.133461 -0.208446 0.968885 0.935839 -0.295256 -0.19243 -4.5731e+08 -284415 -132972 -4.58084e+08 -15317.6 -4.57816e+08
3325.8 74.8026 -12.2526 -6.04892e+08 -6.04555e+08 -6.0428e+08 -0.57849 0.793603 -0.188532 0.0757941 0.28243 0.956289 0.812161 0.538914 -0.223533 -6.04487e+08 274993 -86633.4 -6.04687e+08 17354.1 -6.04553e+08
3376.21 74.5779 -22.327 -3.02933e+08 -3.02381e+08 -3.01948e+08 -0.585645 0.719316 0.373637 0.748564 0.656775 -0.0910938 -0.310921 0.226343 -0.923091 -3.02529e+08 201831 244920 -3.02644e+08 -238660 -3.02089e+08
3426.19 75.0382 -32.5268 -4.81847e+08 -4.81477e+08 -4.81287e+08 0.00161207 0.950619 0.310355 0.893847 -0.140524 0.425783 0.44837 0.276723 -0.849934 -4.81439e+08 22970.4 -72479.2 -4.81797e+08 -153821 -4.81376e+08
3476.39 74.7457 -42.8268 -2.34127e+08 -2.34061e+08 -2.33879e+08 0.525222 -0.574425 0.627836 0.772883 0.630732 -0.0694931 -0.356078 0.521743 0.775237 -2.34056e+08 -14026.7 -72061.1 -2.34033e+08 97521.3 -2.33977e+08
3526.28 74.4991 -2.73828 -3.71978e+08 -3.71379e+08 -3.71022e+08 0.584962 0.589662 0.556882 -0.287672 0.792812 -0.537302 -0.75833 0.154102 0.633395 -3.71379e+08 -248269 -366652 -3.71579e+08 -161728 -3.71422e+08
3576.25 74.379 37.2773 -2.28365e+08 -2.28138e+08 -2.27636e+08 0.614413 0.551899 0.56383 -0.485166 0.82783 -0.281622 -0.622182 -0.100519 0.776392 -2.28029e+08 -45513.9 -320828 -2.28202e+08 -109696 -2.27908e+08
3626.43 74.3566 77.2277 -2.66147e+08 -2.65816e+08 -2.65745e+08 0.588122 -0.483007 0.648703 0.419969 0.867855 0.265433 -0.691186 0.116328 0.713253 -2.65897e+08 88463.7 -161483 -2.65892e+08 109765 -2.65919e+08
3676.45 74.3755 117.231 -2.6273e+08 -2.62609e+08 -2.62492e+08 -0.638549 0.765159 -0.0823817 0.0801417 0.17258 0.98173 0.765397 0.620281 -0.171522 -2.6259e+08 114867 -21744.6 -2.62635e+08 -4789.91 -2.62606e+08
3726.64 74.4606 157.107 -1.87972e+08 -1.87713e+08 -1.87143e+08 0.862999 -0.487926 0.130998 0.396164 0.814495 0.423854 -0.313506 -0.313889 0.896207 -1.8785e+08 165063 -189284 -1.87718e+08 -143662 -1.8726e+08
